Title,Artist,Link
 Unknown (1989),Heather Macdonald,https://collections.ed.ac.uk/art/record/50428?highlight=*:*
 Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,https://collections.ed.ac.uk/art/record/99434?highlight=*:*
 Composition with Two Dresses (1969),David A. H. Gibsone,https://collections.ed.ac.uk/art/record/122869?highlight=*:*
 Portrait of a Man (1959),C Byron,https://collections.ed.ac.uk/art/record/20913?highlight=*:*
 Still Life ,Gavin Robson,https://collections.ed.ac.uk/art/record/122713?highlight=*:*
 Untitled (1969),Rosemary Hamblin,https://collections.ed.ac.uk/art/record/22004?highlight=*:*
 Riders from South Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20726?highlight=*:*
 Udder Hand (2016),Eden Hawkins,https://collections.ed.ac.uk/art/record/99265?highlight=*:*
 Unknown (1964),Cameron,https://collections.ed.ac.uk/art/record/53586?highlight=*:*
 Grey Cover ,Unknown,https://collections.ed.ac.uk/art/record/22633?highlight=*:*
 Embroidered panel ,Winsome Douglass,https://collections.ed.ac.uk/art/record/113834?highlight=*:*
 Portrait of a Woman (1957),Norman E Kirkpatrick,https://collections.ed.ac.uk/art/record/21021?highlight=*:*
 Standing Nude (1952),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21018?highlight=*:*
 Untitled ,John Nichol,https://collections.ed.ac.uk/art/record/112448?highlight=*:*
 Seated Male Nude (1959),W Bryden,https://collections.ed.ac.uk/art/record/21108?highlight=*:*
 Jug ,Emma Gillies,https://collections.ed.ac.uk/art/record/122539?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21946?highlight=*:*
 Pink Nude Study* ,Elsie Blomgren,https://collections.ed.ac.uk/art/record/122831?highlight=*:*
 Untitled (1969),Moira Johnson,https://collections.ed.ac.uk/art/record/22021?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21862?highlight=*:*
 Man in Night Street Scene (1987),Martin Kane,https://collections.ed.ac.uk/art/record/122706?highlight=*:*
 Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21867?highlight=*:*
 Untitled (12 Jun 2014),John Nelson,https://collections.ed.ac.uk/art/record/22481?highlight=*:*
 1st State (Unknown),Euan Gray,https://collections.ed.ac.uk/art/record/21951?highlight=*:*
 Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,https://collections.ed.ac.uk/art/record/20769?highlight=*:*
" Still Life with Pots, Basket and White Flowers (1959)",W Campbell,https://collections.ed.ac.uk/art/record/122865?highlight=*:*
 Untitled (Sucker Darts) (2016),James Howden,https://collections.ed.ac.uk/art/record/113746?highlight=*:*
 Untitled - Figure Drawing of a Man on a Stool (1964),Gordon Bryce,https://collections.ed.ac.uk/art/record/99326?highlight=*:*
 Bowl ,Emma Gillies,https://collections.ed.ac.uk/art/record/122078?highlight=*:*
 Parthenon Frieze in Miniature ,John Henning,https://collections.ed.ac.uk/art/record/20584?highlight=*:*
 Untitled (Unknown),Renny Tait,https://collections.ed.ac.uk/art/record/21723?highlight=*:*
 Figure of a river-god from west pediment ,,https://collections.ed.ac.uk/art/record/20633?highlight=*:*
 Untitled (1963),Kathleen Russell,https://collections.ed.ac.uk/art/record/22014?highlight=*:*
 Reclining Female Nude with Skeleton ,Unknown,https://collections.ed.ac.uk/art/record/122802?highlight=*:*
 Black Nude ,Ann Stout,https://collections.ed.ac.uk/art/record/122807?highlight=*:*
 Seated Female Nude (Circa 1939),Alistair W McCheyne,https://collections.ed.ac.uk/art/record/21139?highlight=*:*
 Untitled (Unknown),J Nicoll,https://collections.ed.ac.uk/art/record/21728?highlight=*:*
 Seated Male Nude reading a Newspaper (1960),Jean Ritchie,https://collections.ed.ac.uk/art/record/20791?highlight=*:*
 Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50486?highlight=*:*
 Free Fall (1985),Robert Adam,https://collections.ed.ac.uk/art/record/21593?highlight=*:*
 Donald Douglas (Actor) (1954),Mary C. A. Edmond,https://collections.ed.ac.uk/art/record/122959?highlight=*:*
 Standing Nude Woman (1964),William M. McG. Gillon,https://collections.ed.ac.uk/art/record/122913?highlight=*:*
 Still Life with Tea and Coffee Pots (1960),Elizabeth M. Hansen,https://collections.ed.ac.uk/art/record/99838?highlight=*:*
 Unknown (1951),Harold F Burnett,https://collections.ed.ac.uk/art/record/50572?highlight=*:*
 Espresso Cup ,Emma Gillies,https://collections.ed.ac.uk/art/record/53699?highlight=*:*
 Horses from South Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20732?highlight=*:*
 Man with Spring Plants (1953),Leonard Baskin,https://collections.ed.ac.uk/art/record/21687?highlight=*:*
